Trial code,Trial,Dog,Run,Trained,View,Start time,Scorer,Date complete,Event saved,Time Budget saved,Notes
T3D11R1,3,11,1,T,side,1:18,Waldrop,4/4/2023,T,T,
T3D11R2,3,11,2,T,side,0:30,Waldrop,4/4/2023,T,T,
T3D12R1,3,12,1,T,side,0:37,Waldrop,4/4/2023,T,T,
T3D12R2,3,12,2,T,side,0:19,Waldrop,4/4/2023,T,T,
T3D14R1,3,14,1,T,side,0:51,Waldrop,4/4/2023,T,T,
T3D14R2,3,14,2,T,side,0:19,Waldrop,4/4/2023,T,T,
T3D15R1,3,15,1,T,side,0:19,Waldrop,4/4/2023,T,T,
T3D15R2,3,15,2,T,side,0:51,Waldrop,4/4/2023,T,T,
T3D17R1,3,17,1,T,side,0:48,Waldrop,4/4/2023,T,T,
T3D17R2,3,17,2,T,side,0:15,Waldrop,4/4/2023,T,T,
T3D19R1,3,19,1,T,side,0:24,Waldrop,4/4/2023,T,T,
T3D19R2,3,19,2,T,side,0:23,Waldrop,4/5/2023,T,T,
T3D1R1,3,1,1,T,side,0:34,Waldrop,4/4/2023,T,T,
T3D1R2,3,1,2,T,side,0:46,Waldrop,4/4/2023,T,T,
T3D1R2NO,3,1,2,T,side,,,,,,
T3D20R1,3,20,1,T,side,0:20,Waldrop,4/4/2023,T,T,
T3D20R2,3,20,2,T,side,0:20,Waldrop,4/5/2023,T,T,
T3D21R1,3,21,1,T,side,0:21,Waldrop,4/4/2023,T,T,
T3D21R2,3,21,2,T,side,0:16,Waldrop,4/5/2023,T,T,
T3D22R1,3,22,1,T,side,2:54,Waldrop,4/5/2023,T,T,
T3D22R2,3,22,2,T,side,1:40,Waldrop,4/5/2023,T,T,
T3D23R1,3,23,1,T,side,0:52,Waldrop,4/5/2023,T,T,
T3D23R2,3,23,2,T,side,0:32,Waldrop,4/5/2023,T,T,
T3D24R1,3,24,1,T,side,0:51,Waldrop,4/5/2023,T,T,
T3D24R2,3,24,2,T,side,0:56,Waldrop,4/5/2023,T,T,
T3D2R1,3,2,1,T,side,0:58,Waldrop,4/4/2023,T,T,
T3D2R2,3,2,2,T,side,0:24,Waldrop,4/4/2023,T,T,
T3D2R2NO,3,2,2,T,side,,,,,,
T3D9R1,3,9,1,T,side,0:48,Waldrop,4/4/2023,T,T,
T3D9R2,3,9,2,T,side,0:43,Waldrop,4/4/2023,T,T,
T3D9R2NO,3,9,2,T,side,,,,,,
