"dog","task","chemical","value"
"1","j","2E1H",0.497
"1","j","Ammonia",0.501000000000005
"1","l","2E1H",1.74400000000001
"1","l","Ammonia",2.82600000000001
"1","p","2E1H",0
"1","p","Ammonia",0
"1","s","2E1H",13.738
"1","s","Ammonia",12.538
"1",NA,"2E1H",29.93
"1",NA,"Ammonia",28.287
"11","j","2E1H",0
"11","j","Ammonia",0
"11","l","2E1H",2
"11","l","Ammonia",2.748
"11","p","2E1H",0.745000000000005
"11","p","Ammonia",0
"11","s","2E1H",7.92299999999999
"11","s","Ammonia",8.21199999999999
"11",NA,"2E1H",28.505
"11",NA,"Ammonia",23.011
"12","j","2E1H",0
"12","j","Ammonia",0
"12","l","2E1H",0.253
"12","l","Ammonia",0
"12","p","2E1H",0
"12","p","Ammonia",0
"12","s","2E1H",15.744
"12","s","Ammonia",4.24500000000001
"12",NA,"2E1H",41.247
"12",NA,"Ammonia",14.498
"14","j","2E1H",0.25
"14","j","Ammonia",2.501
"14","l","2E1H",1.5
"14","l","Ammonia",2.752
"14","p","2E1H",0
"14","p","Ammonia",0
"14","s","2E1H",9.99900000000001
"14","s","Ammonia",12.5
"14",NA,"2E1H",32.865
"14",NA,"Ammonia",18.932
"15","j","2E1H",0
"15","j","Ammonia",0
"15","l","2E1H",0
"15","l","Ammonia",6.178
"15","p","2E1H",0
"15","p","Ammonia",0
"15","s","2E1H",6.999
"15","s","Ammonia",11.996
"15",NA,"2E1H",17.5
"15",NA,"Ammonia",37.774
"17","j","2E1H",0
"17","j","Ammonia",0
"17","l","2E1H",8.99999999999999
"17","l","Ammonia",12.504
"17","p","2E1H",3.50900000000001
"17","p","Ammonia",3.001
"17","s","2E1H",16.777
"17","s","Ammonia",16.74
"17",NA,"2E1H",77.485
"17",NA,"Ammonia",51.548
"19","j","2E1H",0
"19","j","Ammonia",2.501
"19","l","2E1H",1.812
"19","l","Ammonia",11.116
"19","p","2E1H",0
"19","p","Ammonia",0
"19","s","2E1H",4.49700000000001
"19","s","Ammonia",3.999
"19",NA,"2E1H",13.492
"19",NA,"Ammonia",48.298
"2","j","2E1H",2.25
"2","j","Ammonia",0
"2","l","2E1H",11.898
"2","l","Ammonia",10.499
"2","p","2E1H",0
"2","p","Ammonia",0
"2","s","2E1H",12.844
"2","s","Ammonia",14.937
"2",NA,"2E1H",67.184
"2",NA,"Ammonia",31.118
"20","j","2E1H",1.25
"20","j","Ammonia",2.25
"20","l","2E1H",3.342
"20","l","Ammonia",7.001
"20","p","2E1H",0
"20","p","Ammonia",0
"20","s","2E1H",7.562
"20","s","Ammonia",9.749
"20",NA,"2E1H",17.777
"20",NA,"Ammonia",26.499
"21","j","Ammonia",0
"21","l","Ammonia",1.749
"21","p","Ammonia",0
"21","s","Ammonia",10.251
"21",NA,"Ammonia",32
"22","j","2E1H",1.75400000000002
"22","j","Ammonia",2.25300000000001
"22","l","2E1H",2.49999999999997
"22","l","Ammonia",6.50200000000001
"22","p","2E1H",0
"22","p","Ammonia",0
"22","s","2E1H",18
"22","s","Ammonia",21.747
"22",NA,"2E1H",45.5
"22",NA,"Ammonia",76.499
"23","j","2E1H",1.75
"23","j","Ammonia",0
"23","l","2E1H",13.502
"23","l","Ammonia",6.252
"23","p","2E1H",0
"23","p","Ammonia",0
"23","s","2E1H",14.098
"23","s","Ammonia",11.753
"23",NA,"2E1H",85.609
"23",NA,"Ammonia",56.501
"24","j","2E1H",0
"24","j","Ammonia",3.00300000000001
"24","l","2E1H",0
"24","l","Ammonia",0
"24","p","2E1H",0
"24","p","Ammonia",0
"24","s","2E1H",15.249
"24","s","Ammonia",17.526
"24",NA,"2E1H",19.249
"24",NA,"Ammonia",19.525
"9","j","2E1H",0
"9","j","Ammonia",0
"9","l","2E1H",0
"9","l","Ammonia",2.75
"9","p","2E1H",0
"9","p","Ammonia",0
"9","s","2E1H",7
"9","s","Ammonia",7.748
"9",NA,"2E1H",16
"9",NA,"Ammonia",17.748
