"dog","task","chemical","trained","value"
"1","j","2E1H",FALSE,1.249
"1","j","2E1H",TRUE,0.497
"1","j","Ammonia",FALSE,0
"1","j","Ammonia",TRUE,0.501000000000005
"1","l","2E1H",FALSE,2.99999999999999
"1","l","2E1H",TRUE,1.74400000000001
"1","l","Ammonia",FALSE,1.502
"1","l","Ammonia",TRUE,2.82600000000001
"1","p","2E1H",FALSE,0
"1","p","2E1H",TRUE,0
"1","p","Ammonia",FALSE,0
"1","p","Ammonia",TRUE,0
"1","s","2E1H",FALSE,7.24400000000001
"1","s","2E1H",TRUE,13.738
"1","s","Ammonia",FALSE,18.002
"1","s","Ammonia",TRUE,12.538
"1",NA,"2E1H",FALSE,36.507
"1",NA,"2E1H",TRUE,29.93
"1",NA,"Ammonia",FALSE,22.499
"1",NA,"Ammonia",TRUE,28.287
"11","j","2E1H",FALSE,1.25099999999999
"11","j","2E1H",TRUE,0
"11","j","Ammonia",FALSE,0
"11","j","Ammonia",TRUE,0
"11","l","2E1H",FALSE,6.75000000000001
"11","l","2E1H",TRUE,2
"11","l","Ammonia",FALSE,0
"11","l","Ammonia",TRUE,2.748
"11","p","2E1H",FALSE,0
"11","p","2E1H",TRUE,0.745000000000005
"11","p","Ammonia",FALSE,0
"11","p","Ammonia",TRUE,0
"11","s","2E1H",FALSE,9.25999999999999
"11","s","2E1H",TRUE,7.92299999999999
"11","s","Ammonia",FALSE,10.244
"11","s","Ammonia",TRUE,8.21199999999999
"11",NA,"2E1H",FALSE,53.71
"11",NA,"2E1H",TRUE,28.505
"11",NA,"Ammonia",FALSE,24.497
"11",NA,"Ammonia",TRUE,23.011
"12","j","2E1H",FALSE,0
"12","j","2E1H",TRUE,0
"12","j","Ammonia",FALSE,0
"12","j","Ammonia",TRUE,0
"12","l","2E1H",FALSE,2.756
"12","l","2E1H",TRUE,0.253
"12","l","Ammonia",FALSE,4.755
"12","l","Ammonia",TRUE,0
"12","p","2E1H",FALSE,0
"12","p","2E1H",TRUE,0
"12","p","Ammonia",FALSE,0
"12","p","Ammonia",TRUE,0
"12","s","2E1H",FALSE,14.337
"12","s","2E1H",TRUE,15.744
"12","s","Ammonia",FALSE,10.496
"12","s","Ammonia",TRUE,4.24500000000001
"12",NA,"2E1H",FALSE,37.596
"12",NA,"2E1H",TRUE,41.247
"12",NA,"Ammonia",FALSE,37.684
"12",NA,"Ammonia",TRUE,14.498
"14","j","2E1H",FALSE,1.00099999999999
"14","j","2E1H",TRUE,0.25
"14","j","Ammonia",FALSE,0.747
"14","j","Ammonia",TRUE,2.501
"14","l","2E1H",FALSE,11.437
"14","l","2E1H",TRUE,1.5
"14","l","Ammonia",FALSE,5.862
"14","l","Ammonia",TRUE,2.752
"14","p","2E1H",FALSE,0
"14","p","2E1H",TRUE,0
"14","p","Ammonia",FALSE,0
"14","p","Ammonia",TRUE,0
"14","s","2E1H",FALSE,22.638
"14","s","2E1H",TRUE,9.99900000000001
"14","s","Ammonia",FALSE,14.499
"14","s","Ammonia",TRUE,12.5
"14",NA,"2E1H",FALSE,46.298
"14",NA,"2E1H",TRUE,32.865
"14",NA,"Ammonia",FALSE,31.616
"14",NA,"Ammonia",TRUE,18.932
"15","j","2E1H",FALSE,0
"15","j","2E1H",TRUE,0
"15","j","Ammonia",FALSE,0
"15","j","Ammonia",TRUE,0
"15","l","2E1H",FALSE,2.00500000000002
"15","l","2E1H",TRUE,0
"15","l","Ammonia",FALSE,0
"15","l","Ammonia",TRUE,6.178
"15","p","2E1H",FALSE,0
"15","p","2E1H",TRUE,0
"15","p","Ammonia",FALSE,0
"15","p","Ammonia",TRUE,0
"15","s","2E1H",FALSE,17.068
"15","s","2E1H",TRUE,6.999
"15","s","Ammonia",FALSE,11.748
"15","s","Ammonia",TRUE,11.996
"15",NA,"2E1H",FALSE,45.364
"15",NA,"2E1H",TRUE,17.5
"15",NA,"Ammonia",FALSE,20.747
"15",NA,"Ammonia",TRUE,37.774
"17","j","2E1H",FALSE,0.751000000000005
"17","j","2E1H",TRUE,0
"17","j","Ammonia",FALSE,0
"17","j","Ammonia",TRUE,0
"17","l","2E1H",FALSE,7.24699999999999
"17","l","2E1H",TRUE,8.99999999999999
"17","l","Ammonia",FALSE,17.001
"17","l","Ammonia",TRUE,12.504
"17","p","2E1H",FALSE,0
"17","p","2E1H",TRUE,3.50900000000001
"17","p","Ammonia",FALSE,4.622
"17","p","Ammonia",TRUE,3.001
"17","s","2E1H",FALSE,18.091
"17","s","2E1H",TRUE,16.777
"17","s","Ammonia",FALSE,18.496
"17","s","Ammonia",TRUE,16.74
"17",NA,"2E1H",FALSE,70.869
"17",NA,"2E1H",TRUE,77.485
"17",NA,"Ammonia",FALSE,52.183
"17",NA,"Ammonia",TRUE,51.548
"19","j","2E1H",FALSE,0.998000000000005
"19","j","2E1H",TRUE,0
"19","j","Ammonia",FALSE,0
"19","j","Ammonia",TRUE,2.501
"19","l","2E1H",FALSE,0.745999999999995
"19","l","2E1H",TRUE,1.812
"19","l","Ammonia",FALSE,4.172
"19","l","Ammonia",TRUE,11.116
"19","p","2E1H",FALSE,0
"19","p","2E1H",TRUE,0
"19","p","Ammonia",FALSE,0
"19","p","Ammonia",TRUE,0
"19","s","2E1H",FALSE,8.427
"19","s","2E1H",TRUE,4.49700000000001
"19","s","Ammonia",FALSE,6.773
"19","s","Ammonia",TRUE,3.999
"19",NA,"2E1H",FALSE,23.839
"19",NA,"2E1H",TRUE,13.492
"19",NA,"Ammonia",FALSE,26.059
"19",NA,"Ammonia",TRUE,48.298
"2","j","2E1H",FALSE,1.00599999999999
"2","j","2E1H",TRUE,2.25
"2","j","Ammonia",FALSE,0
"2","j","Ammonia",TRUE,0
"2","l","2E1H",FALSE,12.754
"2","l","2E1H",TRUE,11.898
"2","l","Ammonia",FALSE,13.248
"2","l","Ammonia",TRUE,10.499
"2","p","2E1H",FALSE,0
"2","p","2E1H",TRUE,0
"2","p","Ammonia",FALSE,0
"2","p","Ammonia",TRUE,0
"2","s","2E1H",FALSE,6.50099999999999
"2","s","2E1H",TRUE,12.844
"2","s","Ammonia",FALSE,5.001
"2","s","Ammonia",TRUE,14.937
"2",NA,"2E1H",FALSE,86.831
"2",NA,"2E1H",TRUE,67.184
"2",NA,"Ammonia",FALSE,21.339
"2",NA,"Ammonia",TRUE,31.118
"20","j","2E1H",FALSE,0
"20","j","2E1H",TRUE,1.25
"20","j","Ammonia",FALSE,0
"20","j","Ammonia",TRUE,2.25
"20","l","2E1H",FALSE,5.74600000000005
"20","l","2E1H",TRUE,3.342
"20","l","Ammonia",FALSE,6.752
"20","l","Ammonia",TRUE,7.001
"20","p","2E1H",FALSE,0
"20","p","2E1H",TRUE,0
"20","p","Ammonia",FALSE,1.25
"20","p","Ammonia",TRUE,0
"20","s","2E1H",FALSE,21.744
"20","s","2E1H",TRUE,7.562
"20","s","Ammonia",FALSE,17.004
"20","s","Ammonia",TRUE,9.749
"20",NA,"2E1H",FALSE,48.867
"20",NA,"2E1H",TRUE,17.777
"20",NA,"Ammonia",FALSE,40.435
"20",NA,"Ammonia",TRUE,26.499
"21","j","2E1H",TRUE,0
"21","j","Ammonia",TRUE,0
"21","l","2E1H",TRUE,1.74999999999999
"21","l","Ammonia",TRUE,1.749
"21","p","2E1H",TRUE,0
"21","p","Ammonia",TRUE,0
"21","s","2E1H",TRUE,16.341
"21","s","Ammonia",TRUE,10.251
"21",NA,"2E1H",TRUE,49.118
"21",NA,"Ammonia",TRUE,32
"22","j","2E1H",FALSE,0
"22","j","2E1H",TRUE,1.75400000000002
"22","j","Ammonia",FALSE,0.997
"22","j","Ammonia",TRUE,2.25300000000001
"22","l","2E1H",FALSE,0.74799999999999
"22","l","2E1H",TRUE,2.49999999999997
"22","l","Ammonia",FALSE,2.50800000000001
"22","l","Ammonia",TRUE,6.50200000000001
"22","p","2E1H",FALSE,0
"22","p","2E1H",TRUE,0
"22","p","Ammonia",FALSE,0
"22","p","Ammonia",TRUE,0
"22","s","2E1H",FALSE,5.251
"22","s","2E1H",TRUE,18
"22","s","Ammonia",FALSE,20.745
"22","s","Ammonia",TRUE,21.747
"22",NA,"2E1H",FALSE,40.499
"22",NA,"2E1H",TRUE,45.5
"22",NA,"Ammonia",FALSE,88.893
"22",NA,"Ammonia",TRUE,76.499
"23","j","2E1H",FALSE,0.751000000000005
"23","j","2E1H",TRUE,1.75
"23","j","Ammonia",FALSE,0
"23","j","Ammonia",TRUE,0
"23","l","2E1H",FALSE,0.498000000000005
"23","l","2E1H",TRUE,13.502
"23","l","Ammonia",FALSE,2.49700000000001
"23","l","Ammonia",TRUE,6.252
"23","p","2E1H",FALSE,0
"23","p","2E1H",TRUE,0
"23","p","Ammonia",FALSE,0
"23","p","Ammonia",TRUE,0
"23","s","2E1H",FALSE,13.75
"23","s","2E1H",TRUE,14.098
"23","s","Ammonia",FALSE,3.50200000000001
"23","s","Ammonia",TRUE,11.753
