"dog","task","chemical","value"
"1","casting","2E1H",0.486647748981231
"1","casting","Ammonia",0.784650376460386
"1","detailing","2E1H",0.547519875701989
"1","detailing","Ammonia",0.390381417014507
"11","casting","2E1H",0.413029830812688
"11","casting","Ammonia",0.993019145238809
"11","detailing","2E1H",0.266214753673246
"11","detailing","Ammonia",0.584697813950795
"12","casting","2E1H",0.400770806972858
"12","casting","Ammonia",0.779240011954602
"12","detailing","2E1H",0.540982917144059
"12","detailing","Ammonia",0.434546928765716
"14","casting","2E1H",0.534106025662
"14","casting","Ammonia",0.677357960121637
"14","detailing","Ammonia",0.344005108286147
"15","casting","2E1H",0.533469512694829
"15","casting","Ammonia",0.737866256783218
"15","detailing","2E1H",0.541122027901724
"15","detailing","Ammonia",0.387091813263706
"17","casting","2E1H",0.410408037793511
"17","detailing","Ammonia",0.11446128158623
"19","casting","2E1H",0.35393765695646
"19","casting","Ammonia",0.376519771514714
"19","detailing","2E1H",0.576740716902495
"19","detailing","Ammonia",0.183445942061942
"2","casting","2E1H",0.416101299785009
"2","casting","Ammonia",0.603839919620398
"2","detailing","2E1H",0.683177932234565
"2","detailing","Ammonia",0.477296790485343
"20","casting","2E1H",0.518324886009296
"20","casting","Ammonia",0.688225294178784
"20","detailing","2E1H",0.388942571794439
"20","detailing","Ammonia",0.297567772095591
"21","casting","2E1H",0.318143457179156
"21","casting","Ammonia",0.635534102004896
"21","detailing","2E1H",0.494304071791358
"21","detailing","Ammonia",0.565849569692406
"22","casting","2E1H",0.786263648851863
"22","casting","Ammonia",0.579252787536196
"22","detailing","2E1H",0.413590341214085
"22","detailing","Ammonia",0.279704286772099
"23","casting","2E1H",0.684824012128472
"23","casting","Ammonia",0.644430514602627
"23","detailing","2E1H",0.395848172023798
"24","casting","2E1H",0.682052680094845
"24","casting","Ammonia",0.537121825969926
"24","detailing","Ammonia",0.296950004107558
"9","casting","2E1H",0.373122640255055
"9","casting","Ammonia",0.81740444775018
"9","detailing","2E1H",0.774648350247872
"9","detailing","Ammonia",0.464317327294324
