"dog","task","chemical","value"
"1","t","2E1H",19.746
"1","t","Ammonia",18.615
"1","c","2E1H",12.251
"1","c","Ammonia",4.248
"1","o","2E1H",5.839
"1","o","Ammonia",6.752
"1","a","2E1H",0.501999999999995
"1","a","Ammonia",1.249
"11","t","2E1H",24.744
"11","t","Ammonia",10.001
"11","c","2E1H",3.002
"11","c","Ammonia",2.755
"11","o","2E1H",6.75200000000001
"11","o","Ammonia",10.005
"11","a","Ammonia",1.745
"12","t","2E1H",29.713
"12","t","Ammonia",17.504
"12","c","2E1H",15.996
"12","c","Ammonia",7.74500000000001
"12","o","2E1H",5.749
"12","o","Ammonia",1.75
"14","t","2E1H",12.506
"14","t","Ammonia",6.74600000000001
"14","c","2E1H",17.247
"14","c","Ammonia",10.752
"14","o","2E1H",2.49700000000001
"14","o","Ammonia",3.752
"14","a","2E1H",2.25
"14","a","Ammonia",2.499
"15","t","2E1H",13.254
"15","t","Ammonia",24.842
"15","c","2E1H",9.25
"15","c","Ammonia",14.246
"15","o","2E1H",2.003
"15","o","Ammonia",8.50200000000001
"15","a","Ammonia",1.497
"17","t","2E1H",55.098
"17","t","Ammonia",33.247
"17","c","2E1H",18.248
"17","c","Ammonia",12.495
"17","o","2E1H",4.251
"17","o","Ammonia",3.118
"17","a","2E1H",1.00200000000001
"17","a","Ammonia",0.747
"19","t","2E1H",8.672
"19","t","Ammonia",29.437
"19","c","2E1H",6.749
"19","c","Ammonia",6.18199999999999
"19","o","2E1H",2.253
"19","o","Ammonia",4.00299999999999
"19","a","Ammonia",1
"2","t","2E1H",57.245
"2","t","Ammonia",18.817
"2","c","2E1H",10.4970000000001
"2","c","Ammonia",14.751
"2","o","2E1H",1.001
"2","o","Ammonia",3.501
"2","a","Ammonia",2.249
"20","t","2E1H",9.487
"20","t","Ammonia",16.003
"20","c","2E1H",2.249
"20","c","Ammonia",10.252
"20","o","2E1H",7.247
"20","o","Ammonia",6.434
"20","a","Ammonia",1.747
"21","t","2E1H",39.762
"21","t","Ammonia",14.867
"21","c","2E1H",16.003
"21","c","Ammonia",17.118
"21","o","2E1H",4.751
"21","o","Ammonia",4.74799999999999
"22","t","2E1H",27.497
"22","t","Ammonia",17.003
"22","c","2E1H",17.504
"22","c","Ammonia",50.37
"22","o","2E1H",2.24899999999997
"22","o","Ammonia",13.748
"22","a","2E1H",2.249
"22","a","Ammonia",1.25100000000002
"23","t","2E1H",53.253
"23","t","Ammonia",26.247
"23","c","2E1H",22.247
"23","c","Ammonia",21.566
"23","o","2E1H",2.21199999999997
"23","o","Ammonia",12.749
"23","a","2E1H",3
"23","a","Ammonia",1.748
"24","t","2E1H",4.75
"24","t","Ammonia",0.75
"24","c","2E1H",13
"24","c","Ammonia",15.75
"24","o","Ammonia",13.251
"9","t","2E1H",15.336
"9","t","Ammonia",7.998
"9","c","2E1H",5.99700000000001
"9","c","Ammonia",4.74700000000001
"9","o","2E1H",1.499
"9","o","Ammonia",7.00399999999999
"9","a","Ammonia",0.249000000000002
