"dog","task","chemical","trained","value"
"1","t","2E1H",FALSE,28.751
"1","t","2E1H",TRUE,19.746
"1","t","Ammonia",FALSE,15.254
"1","t","Ammonia",TRUE,18.615
"1","c","2E1H",FALSE,7.751
"1","c","2E1H",TRUE,12.251
"1","c","Ammonia",FALSE,8.248
"1","c","Ammonia",TRUE,4.248
"1","o","2E1H",TRUE,5.839
"1","o","Ammonia",TRUE,6.752
"1","a","2E1H",TRUE,0.501999999999995
"1","a","Ammonia",TRUE,1.249
"11","t","2E1H",FALSE,47.33
"11","t","2E1H",TRUE,24.744
"11","t","Ammonia",FALSE,16.776
"11","t","Ammonia",TRUE,10.001
"11","c","2E1H",FALSE,12.648
"11","c","2E1H",TRUE,3.002
"11","c","Ammonia",FALSE,5.08799999999998
"11","c","Ammonia",TRUE,2.755
"11","o","2E1H",TRUE,6.75200000000001
"11","o","Ammonia",FALSE,3.84400000000002
"11","o","Ammonia",TRUE,10.005
"11","a","Ammonia",TRUE,1.745
"12","t","2E1H",FALSE,26.59
"12","t","2E1H",TRUE,29.713
"12","t","Ammonia",FALSE,23.908
"12","t","Ammonia",TRUE,17.504
"12","c","2E1H",FALSE,11.752
"12","c","2E1H",TRUE,15.996
"12","c","Ammonia",FALSE,16.021
"12","c","Ammonia",TRUE,7.74500000000001
"12","o","2E1H",FALSE,0.251000000000005
"12","o","2E1H",TRUE,5.749
"12","o","Ammonia",TRUE,1.75
"14","t","2E1H",FALSE,6.152
"14","t","2E1H",TRUE,12.506
"14","t","Ammonia",FALSE,6.49900000000002
"14","t","Ammonia",TRUE,6.74600000000001
"14","c","2E1H",FALSE,37.214
"14","c","2E1H",TRUE,17.247
"14","c","Ammonia",FALSE,22.006
"14","c","Ammonia",TRUE,10.752
"14","o","2E1H",FALSE,4.00299999999999
"14","o","2E1H",TRUE,2.49700000000001
"14","o","Ammonia",FALSE,1.685
"14","o","Ammonia",TRUE,3.752
"14","a","2E1H",FALSE,3.661
"14","a","2E1H",TRUE,2.25
"14","a","Ammonia",TRUE,2.499
"15","t","2E1H",FALSE,15.75
"15","t","2E1H",TRUE,13.254
"15","t","Ammonia",FALSE,8.027
"15","t","Ammonia",TRUE,24.842
"15","c","2E1H",FALSE,22.896
"15","c","2E1H",TRUE,9.25
"15","c","Ammonia",FALSE,12.434
"15","c","Ammonia",TRUE,14.246
"15","o","2E1H",FALSE,7.254
"15","o","2E1H",TRUE,2.003
"15","o","Ammonia",FALSE,2.75099999999999
"15","o","Ammonia",TRUE,8.50200000000001
"15","a","Ammonia",TRUE,1.497
"17","t","2E1H",FALSE,43.978
"17","t","2E1H",TRUE,55.098
"17","t","Ammonia",FALSE,21.491
"17","t","Ammonia",TRUE,33.247
"17","c","2E1H",FALSE,22.246
"17","c","2E1H",TRUE,18.248
"17","c","Ammonia",FALSE,19.95
"17","c","Ammonia",TRUE,12.495
"17","o","2E1H",TRUE,4.251
"17","o","Ammonia",FALSE,1.499
"17","o","Ammonia",TRUE,3.118
"17","a","2E1H",TRUE,1.00200000000001
"17","a","Ammonia",TRUE,0.747
"19","t","2E1H",FALSE,18.255
"19","t","2E1H",TRUE,8.672
"19","t","Ammonia",FALSE,16.401
"19","t","Ammonia",TRUE,29.437
"19","c","2E1H",FALSE,9.002
"19","c","2E1H",TRUE,6.749
"19","c","Ammonia",FALSE,9.759
"19","c","Ammonia",TRUE,6.18199999999999
"19","o","2E1H",FALSE,0.752000000000002
"19","o","2E1H",TRUE,2.253
"19","o","Ammonia",TRUE,4.00299999999999
"19","a","Ammonia",TRUE,1
"2","t","2E1H",FALSE,34.999
"2","t","2E1H",TRUE,57.245
"2","t","Ammonia",FALSE,15.932
"2","t","Ammonia",TRUE,18.817
"2","c","2E1H",FALSE,9.251
"2","c","2E1H",TRUE,10.4970000000001
"2","c","Ammonia",FALSE,7.248
"2","c","Ammonia",TRUE,14.751
"2","o","2E1H",TRUE,1.001
"2","o","Ammonia",TRUE,3.501
"2","a","Ammonia",TRUE,2.249
"20","t","2E1H",FALSE,20.051
"20","t","2E1H",TRUE,9.487
"20","t","Ammonia",FALSE,17.752
"20","t","Ammonia",TRUE,16.003
"20","c","2E1H",FALSE,25.741
"20","c","2E1H",TRUE,2.249
"20","c","Ammonia",FALSE,13.779
"20","c","Ammonia",TRUE,10.252
"20","o","2E1H",TRUE,7.247
"20","o","Ammonia",FALSE,4.249
"20","o","Ammonia",TRUE,6.434
"20","a","Ammonia",TRUE,1.747
"21","t","2E1H",TRUE,39.762
"21","t","Ammonia",TRUE,14.867
"21","c","2E1H",TRUE,16.003
"21","c","Ammonia",TRUE,17.118
"21","o","2E1H",TRUE,4.751
"21","o","Ammonia",TRUE,4.74799999999999
"22","t","2E1H",FALSE,32.499
"22","t","2E1H",TRUE,27.497
"22","t","Ammonia",FALSE,24.522
"22","t","Ammonia",TRUE,17.003
"22","c","2E1H",FALSE,10.255
"22","c","2E1H",TRUE,17.504
"22","c","Ammonia",FALSE,18.341
"22","c","Ammonia",TRUE,50.37
"22","o","2E1H",FALSE,2
"22","o","2E1H",TRUE,2.24899999999997
"22","o","Ammonia",TRUE,13.748
"22","a","2E1H",TRUE,2.249
"22","a","Ammonia",TRUE,1.25100000000002
"23","t","2E1H",FALSE,48.659
"23","t","2E1H",TRUE,53.253
"23","t","Ammonia",FALSE,21.494
"23","t","Ammonia",TRUE,26.247
"23","c","2E1H",FALSE,17.64
"23","c","2E1H",TRUE,22.247
"23","c","Ammonia",FALSE,4.24800000000002
"23","c","Ammonia",TRUE,21.566
"23","o","2E1H",FALSE,1.5
"23","o","2E1H",TRUE,2.21199999999997
"23","o","Ammonia",TRUE,12.749
"23","a","2E1H",TRUE,3
"23","a","Ammonia",TRUE,1.748
"24","t","2E1H",FALSE,13.931
"24","t","2E1H",TRUE,4.75
"24","t","Ammonia",FALSE,8.937
"24","t","Ammonia",TRUE,0.75
"24","c","2E1H",FALSE,13.274
"24","c","2E1H",TRUE,13
"24","c","Ammonia",FALSE,8.751
"24","c","Ammonia",TRUE,15.75
"24","o","2E1H",FALSE,6.927
"24","o","Ammonia",FALSE,0.999000000000002
"24","o","Ammonia",TRUE,13.251
"9","t","2E1H",FALSE,45.088
"9","t","2E1H",TRUE,15.336
"9","t","Ammonia",FALSE,13.859
"9","t","Ammonia",TRUE,7.998
"9","c","2E1H",FALSE,19.004
"9","c","2E1H",TRUE,5.99700000000001
"9","c","Ammonia",FALSE,11.505
"9","c","Ammonia",TRUE,4.74700000000001
"9","o","2E1H",FALSE,6.96599999999999
"9","o","2E1H",TRUE,1.499
"9","o","Ammonia",TRUE,7.00399999999999
"9","a","Ammonia",TRUE,0.249000000000002
