"dog","task","chemical","value"
"1","b","2E1H",0
"1","b","Ammonia",0
"1","e","2E1H",1
"1","e","Ammonia",2
"1","f","2E1H",0
"1","f","Ammonia",1
"1","h","2E1H",3
"1","h","Ammonia",4
"1","k","2E1H",1
"1","k","Ammonia",1
"1","n","2E1H",0
"1","n","Ammonia",1
"1","v","2E1H",2
"1","v","Ammonia",1
"1","w","2E1H",4
"1","w","Ammonia",3
"11","b","2E1H",1
"11","b","Ammonia",1
"11","e","2E1H",2
"11","e","Ammonia",3
"11","f","2E1H",0
"11","f","Ammonia",0
"11","h","2E1H",0
"11","h","Ammonia",6
"11","k","2E1H",3
"11","k","Ammonia",5
"11","n","2E1H",0
"11","n","Ammonia",0
"11","v","2E1H",0
"11","v","Ammonia",0
"11","w","2E1H",1
"11","w","Ammonia",5
"12","b","2E1H",0
"12","b","Ammonia",0
"12","e","2E1H",0
"12","e","Ammonia",0
"12","f","2E1H",0
"12","f","Ammonia",0
"12","h","2E1H",1
"12","h","Ammonia",0
"12","k","2E1H",1
"12","k","Ammonia",0
"12","n","2E1H",0
"12","n","Ammonia",0
"12","v","2E1H",0
"12","v","Ammonia",0
"12","w","2E1H",0
"12","w","Ammonia",2
"14","b","2E1H",0
"14","b","Ammonia",0
"14","e","2E1H",0
"14","e","Ammonia",0
"14","f","2E1H",0
"14","f","Ammonia",0
"14","h","2E1H",1
"14","h","Ammonia",2
"14","k","2E1H",0
"14","k","Ammonia",0
"14","n","2E1H",0
"14","n","Ammonia",0
"14","v","2E1H",0
"14","v","Ammonia",0
"14","w","2E1H",1
"14","w","Ammonia",1
"15","b","2E1H",0
"15","b","Ammonia",0
"15","e","2E1H",0
"15","e","Ammonia",0
"15","f","2E1H",0
"15","f","Ammonia",0
"15","h","2E1H",0
"15","h","Ammonia",5
"15","k","2E1H",0
"15","k","Ammonia",1
"15","n","2E1H",0
"15","n","Ammonia",0
"15","v","2E1H",0
"15","v","Ammonia",0
"15","w","2E1H",5
"15","w","Ammonia",4
"17","b","2E1H",0
"17","b","Ammonia",0
"17","e","2E1H",0
"17","e","Ammonia",0
"17","f","2E1H",0
"17","f","Ammonia",0
"17","h","2E1H",0
"17","h","Ammonia",6
"17","k","2E1H",5
"17","k","Ammonia",6
"17","n","2E1H",0
"17","n","Ammonia",0
"17","v","2E1H",0
"17","v","Ammonia",0
"17","w","2E1H",4
"17","w","Ammonia",8
"19","b","2E1H",0
"19","b","Ammonia",6
"19","e","2E1H",0
"19","e","Ammonia",0
"19","f","2E1H",0
"19","f","Ammonia",0
"19","h","2E1H",1
"19","h","Ammonia",4
"19","k","2E1H",0
"19","k","Ammonia",4
"19","n","2E1H",1
"19","n","Ammonia",0
"19","v","2E1H",0
"19","v","Ammonia",0
"19","w","2E1H",4
"19","w","Ammonia",6
"2","b","2E1H",2
"2","b","Ammonia",0
"2","e","2E1H",0
"2","e","Ammonia",0
"2","f","2E1H",0
"2","f","Ammonia",0
"2","h","2E1H",5
"2","h","Ammonia",8
"2","k","2E1H",4
"2","k","Ammonia",3
"2","n","2E1H",1
"2","n","Ammonia",0
"2","v","2E1H",0
"2","v","Ammonia",0
"2","w","2E1H",4
"2","w","Ammonia",0
"20","b","2E1H",0
"20","b","Ammonia",0
"20","e","2E1H",6
"20","e","Ammonia",2
"20","f","2E1H",0
"20","f","Ammonia",0
"20","h","2E1H",1
"20","h","Ammonia",2
"20","k","2E1H",0
"20","k","Ammonia",0
"20","n","2E1H",0
"20","n","Ammonia",0
"20","v","2E1H",0
"20","v","Ammonia",0
"20","w","2E1H",0
"20","w","Ammonia",0
"21","b","2E1H",0
"21","b","Ammonia",0
"21","e","2E1H",2
"21","e","Ammonia",1
"21","f","2E1H",0
"21","f","Ammonia",0
"21","h","2E1H",2
"21","h","Ammonia",1
"21","k","2E1H",1
"21","k","Ammonia",0
"21","n","2E1H",1
"21","n","Ammonia",0
"21","v","2E1H",1
"21","v","Ammonia",0
"21","w","2E1H",7
"21","w","Ammonia",4
"22","b","2E1H",0
"22","b","Ammonia",0
"22","e","2E1H",1
"22","e","Ammonia",0
"22","f","2E1H",0
"22","f","Ammonia",0
"22","h","2E1H",1
"22","h","Ammonia",2
"22","k","2E1H",2
"22","k","Ammonia",1
"22","n","2E1H",0
"22","n","Ammonia",0
"22","v","2E1H",0
"22","v","Ammonia",0
"22","w","2E1H",4
"22","w","Ammonia",2
"23","b","2E1H",2
"23","b","Ammonia",1
"23","e","2E1H",0
"23","e","Ammonia",0
"23","f","2E1H",0
"23","f","Ammonia",0
"23","h","2E1H",11
"23","h","Ammonia",5
"23","k","2E1H",1
"23","k","Ammonia",0
"23","n","2E1H",0
"23","n","Ammonia",0
"23","v","2E1H",0
"23","v","Ammonia",0
"23","w","2E1H",13
"23","w","Ammonia",7
"24","b","2E1H",0
"24","b","Ammonia",0
"24","e","2E1H",0
"24","e","Ammonia",0
"24","f","2E1H",0
"24","f","Ammonia",0
"24","h","2E1H",0
"24","h","Ammonia",0
"24","k","2E1H",0
"24","k","Ammonia",1
"24","n","2E1H",0
"24","n","Ammonia",0
"24","v","2E1H",0
"24","v","Ammonia",0
"24","w","2E1H",2
"24","w","Ammonia",5
"9","b","2E1H",0
"9","e","2E1H",0
"9","f","2E1H",0
"9","h","2E1H",0
"9","k","2E1H",0
"9","n","2E1H",0
"9","v","2E1H",0
"9","w","2E1H",3
NA,NA,NA,0
