"dog","task","chemical","trained","value"
"1","b","2E1H",FALSE,0
"1","b","2E1H",TRUE,0
"1","b","Ammonia",FALSE,0
"1","b","Ammonia",TRUE,0
"1","e","2E1H",FALSE,1
"1","e","2E1H",TRUE,1
"1","e","Ammonia",FALSE,0
"1","e","Ammonia",TRUE,2
"1","f","2E1H",FALSE,0
"1","f","2E1H",TRUE,0
"1","f","Ammonia",FALSE,0
"1","f","Ammonia",TRUE,1
"1","h","2E1H",FALSE,3
"1","h","2E1H",TRUE,3
"1","h","Ammonia",FALSE,2
"1","h","Ammonia",TRUE,4
"1","k","2E1H",FALSE,2
"1","k","2E1H",TRUE,1
"1","k","Ammonia",FALSE,1
"1","k","Ammonia",TRUE,1
"1","n","2E1H",FALSE,0
"1","n","2E1H",TRUE,0
"1","n","Ammonia",FALSE,0
"1","n","Ammonia",TRUE,1
"1","v","2E1H",FALSE,0
"1","v","2E1H",TRUE,2
"1","v","Ammonia",FALSE,0
"1","v","Ammonia",TRUE,1
"1","w","2E1H",FALSE,3
"1","w","2E1H",TRUE,4
"1","w","Ammonia",FALSE,3
"1","w","Ammonia",TRUE,3
"11","b","2E1H",FALSE,1
"11","b","2E1H",TRUE,1
"11","b","Ammonia",FALSE,0
"11","b","Ammonia",TRUE,1
"11","e","2E1H",FALSE,3
"11","e","2E1H",TRUE,2
"11","e","Ammonia",FALSE,1
"11","e","Ammonia",TRUE,3
"11","f","2E1H",FALSE,0
"11","f","2E1H",TRUE,0
"11","f","Ammonia",FALSE,0
"11","f","Ammonia",TRUE,0
"11","h","2E1H",FALSE,10
"11","h","2E1H",TRUE,0
"11","h","Ammonia",FALSE,0
"11","h","Ammonia",TRUE,6
"11","k","2E1H",FALSE,5
"11","k","2E1H",TRUE,3
"11","k","Ammonia",FALSE,0
"11","k","Ammonia",TRUE,5
"11","n","2E1H",FALSE,3
"11","n","2E1H",TRUE,0
"11","n","Ammonia",FALSE,2
"11","n","Ammonia",TRUE,0
"11","v","2E1H",FALSE,0
"11","v","2E1H",TRUE,0
"11","v","Ammonia",FALSE,1
"11","v","Ammonia",TRUE,0
"11","w","2E1H",FALSE,1
"11","w","2E1H",TRUE,1
"11","w","Ammonia",FALSE,0
"11","w","Ammonia",TRUE,5
"12","b","2E1H",FALSE,0
"12","b","2E1H",TRUE,0
"12","b","Ammonia",FALSE,0
"12","b","Ammonia",TRUE,0
"12","e","2E1H",FALSE,0
"12","e","2E1H",TRUE,0
"12","e","Ammonia",FALSE,0
"12","e","Ammonia",TRUE,0
"12","f","2E1H",FALSE,0
"12","f","2E1H",TRUE,0
"12","f","Ammonia",FALSE,0
"12","f","Ammonia",TRUE,0
"12","h","2E1H",FALSE,3
"12","h","2E1H",TRUE,1
"12","h","Ammonia",FALSE,4
"12","h","Ammonia",TRUE,0
"12","k","2E1H",FALSE,3
"12","k","2E1H",TRUE,1
"12","k","Ammonia",FALSE,1
"12","k","Ammonia",TRUE,0
"12","n","2E1H",FALSE,2
"12","n","2E1H",TRUE,0
"12","n","Ammonia",FALSE,3
"12","n","Ammonia",TRUE,0
"12","v","2E1H",FALSE,0
"12","v","2E1H",TRUE,0
"12","v","Ammonia",FALSE,0
"12","v","Ammonia",TRUE,0
"12","w","2E1H",FALSE,0
"12","w","2E1H",TRUE,0
"12","w","Ammonia",FALSE,0
"12","w","Ammonia",TRUE,2
"14","b","2E1H",FALSE,0
"14","b","2E1H",TRUE,0
"14","b","Ammonia",FALSE,0
"14","b","Ammonia",TRUE,0
"14","e","2E1H",FALSE,5
"14","e","2E1H",TRUE,0
"14","e","Ammonia",FALSE,1
"14","e","Ammonia",TRUE,0
"14","f","2E1H",FALSE,0
"14","f","2E1H",TRUE,0
"14","f","Ammonia",FALSE,0
"14","f","Ammonia",TRUE,0
"14","h","2E1H",FALSE,14
"14","h","2E1H",TRUE,1
"14","h","Ammonia",FALSE,5
"14","h","Ammonia",TRUE,2
"14","k","2E1H",FALSE,6
"14","k","2E1H",TRUE,0
"14","k","Ammonia",FALSE,0
"14","k","Ammonia",TRUE,0
"14","n","2E1H",FALSE,0
"14","n","2E1H",TRUE,0
"14","n","Ammonia",FALSE,0
"14","n","Ammonia",TRUE,0
"14","v","2E1H",FALSE,0
"14","v","2E1H",TRUE,0
"14","v","Ammonia",FALSE,0
"14","v","Ammonia",TRUE,0
"14","w","2E1H",FALSE,1
"14","w","2E1H",TRUE,1
"14","w","Ammonia",FALSE,2
"14","w","Ammonia",TRUE,1
"15","b","2E1H",FALSE,0
"15","b","2E1H",TRUE,0
"15","b","Ammonia",FALSE,0
"15","b","Ammonia",TRUE,0
"15","e","2E1H",FALSE,0
"15","e","2E1H",TRUE,0
"15","e","Ammonia",FALSE,0
"15","e","Ammonia",TRUE,0
"15","f","2E1H",FALSE,0
"15","f","2E1H",TRUE,0
"15","f","Ammonia",FALSE,0
"15","f","Ammonia",TRUE,0
"15","h","2E1H",FALSE,4
"15","h","2E1H",TRUE,0
"15","h","Ammonia",FALSE,1
"15","h","Ammonia",TRUE,5
"15","k","2E1H",FALSE,0
"15","k","2E1H",TRUE,0
"15","k","Ammonia",FALSE,1
"15","k","Ammonia",TRUE,1
"15","n","2E1H",FALSE,2
"15","n","2E1H",TRUE,0
"15","n","Ammonia",FALSE,0
"15","n","Ammonia",TRUE,0
"15","v","2E1H",FALSE,0
"15","v","2E1H",TRUE,0
"15","v","Ammonia",FALSE,0
"15","v","Ammonia",TRUE,0
"15","w","2E1H",FALSE,8
"15","w","2E1H",TRUE,5
"15","w","Ammonia",FALSE,4
"15","w","Ammonia",TRUE,4
"17","b","2E1H",FALSE,0
"17","b","2E1H",TRUE,0
"17","b","Ammonia",FALSE,0
"17","b","Ammonia",TRUE,0
"17","e","2E1H",FALSE,0
"17","e","2E1H",TRUE,0
"17","e","Ammonia",FALSE,7
"17","e","Ammonia",TRUE,0
"17","f","2E1H",FALSE,0
"17","f","2E1H",TRUE,0
"17","f","Ammonia",FALSE,0
"17","f","Ammonia",TRUE,0
"17","h","2E1H",FALSE,6
"17","h","2E1H",TRUE,0
"17","h","Ammonia",FALSE,11
"17","h","Ammonia",TRUE,6
"17","k","2E1H",FALSE,2
"17","k","2E1H",TRUE,5
"17","k","Ammonia",FALSE,0
"17","k","Ammonia",TRUE,6
"17","n","2E1H",FALSE,0
"17","n","2E1H",TRUE,0
"17","n","Ammonia",FALSE,1
"17","n","Ammonia",TRUE,0
"17","v","2E1H",FALSE,0
"17","v","2E1H",TRUE,0
"17","v","Ammonia",FALSE,0
"17","v","Ammonia",TRUE,0
"17","w","2E1H",FALSE,10
"17","w","2E1H",TRUE,4
"17","w","Ammonia",FALSE,3
"17","w","Ammonia",TRUE,8
